2013-08-27 16:32:23,112 DEBUG NPJPRG040 JPJPRG04000 exec:35572079 | Switching JDBC Connection [jdbc:oracle:thin:@10.250.24.20:1552/tpjdb, UserName=PJ_TEST02, Oracle JDBC driver] to manual commit | jp.co.ctc_g.pjnavi.fw.jdbc.PjnaviDataSourceTransactionManager (DataSourceTransactionManager.java@221)
2013-08-27 16:32:23,112  INFO NPJPRG040 JPJPRG04000 exec:35572079 | トランザクションを開始しました。 | jp.co.ctc_g.pjnavi.fw.jdbc.PjnaviDataSourceTransactionManager (PjnaviDataSourceTransactionManager.java@28)
2013-08-27 16:32:23,118  INFO NPJPRG040 JPJPRG04000 exec:35572079 | deleteTskPvInfoを実行しました。実行時に指定されたパラメータ：jp.co.ctc_g.pjnavi.batch.pj.npjprg040.Jpjprg04000Criteria@79092647 | jp.co.ctc_g.pjnavi.fw.logger.DaoParamLoggingInterceptor (DaoParamLoggingInterceptor.java@36)
2013-08-27 16:32:23,121 DEBUG NPJPRG040 JPJPRG04000 exec:35572079 | ooo Using Connection [jdbc:oracle:thin:@10.250.24.20:1552/tpjdb, UserName=PJ_TEST02, Oracle JDBC driver] | jp.co.ctc_g.pjnavi.batch.pj.npjprg040.Jpjprg04000JobDaoImpl.deleteTskPvInfo (Slf4jImpl.java@47)
2013-08-27 16:32:23,122 DEBUG NPJPRG040 JPJPRG04000 exec:35572079 | ==>  Preparing: /* jp.co.ctc_g.pjnavi.batch.pj.npjbas040.Jpjprg04000JobDaoImpl.deleteTskPvInfo */ delete from PJTR_PJ_TSK_DIST_PV where exists ( select PJTR_PJ_PRJ.PRJ_CD from PJTR_PJ_PRJ where PJTR_PJ_PRJ.PRJ_CD = PJTR_PJ_TSK_DIST_PV.PRJ_CD and PJTR_PJ_PRJ.PRJ_PROG_ENT_CLOSE_YOUBI = ? )  | jp.co.ctc_g.pjnavi.batch.pj.npjprg040.Jpjprg04000JobDaoImpl.deleteTskPvInfo (Slf4jImpl.java@47)
2013-08-27 16:32:23,123 DEBUG NPJPRG040 JPJPRG04000 exec:35572079 | ==> Parameters: 5(String) | jp.co.ctc_g.pjnavi.batch.pj.npjprg040.Jpjprg04000JobDaoImpl.deleteTskPvInfo (Slf4jImpl.java@47)
2013-08-27 16:32:23,137  INFO NPJPRG040 JPJPRG04000 exec:35572079 | deleteTskResrcPvInfoを実行しました。実行時に指定されたパラメータ：jp.co.ctc_g.pjnavi.batch.pj.npjprg040.Jpjprg04000Criteria@79092647 | jp.co.ctc_g.pjnavi.fw.logger.DaoParamLoggingInterceptor (DaoParamLoggingInterceptor.java@36)
2013-08-27 16:32:23,138 DEBUG NPJPRG040 JPJPRG04000 exec:35572079 | ooo Using Connection [jdbc:oracle:thin:@10.250.24.20:1552/tpjdb, UserName=PJ_TEST02, Oracle JDBC driver] | jp.co.ctc_g.pjnavi.batch.pj.npjprg040.Jpjprg04000JobDaoImpl.deleteTskResrcPvInfo (Slf4jImpl.java@47)
2013-08-27 16:32:23,139 DEBUG NPJPRG040 JPJPRG04000 exec:35572079 | ==>  Preparing: /* jp.co.ctc_g.pjnavi.batch.pj.npjbas040.Jpjprg04000JobDaoImpl.deleteTskResrcPvInfo */ delete from PJTR_PJ_TSK_RESRC_DIST_PV where exists ( select PJTR_PJ_PRJ.PRJ_CD from PJTR_PJ_PRJ where PJTR_PJ_PRJ.PRJ_CD = PJTR_PJ_TSK_RESRC_DIST_PV.PRJ_CD and PJTR_PJ_PRJ.PRJ_PROG_ENT_CLOSE_YOUBI = ? )  | jp.co.ctc_g.pjnavi.batch.pj.npjprg040.Jpjprg04000JobDaoImpl.deleteTskResrcPvInfo (Slf4jImpl.java@47)
2013-08-27 16:32:23,139 DEBUG NPJPRG040 JPJPRG04000 exec:35572079 | ==> Parameters: 5(String) | jp.co.ctc_g.pjnavi.batch.pj.npjprg040.Jpjprg04000JobDaoImpl.deleteTskResrcPvInfo (Slf4jImpl.java@47)
